early_interval,n,midpoints
Wuchiapingian,191,256.6
Changhsingian,148,253
Griesbachian,50,251.7
Dienerian,40,251.4
Smithian,67,250.2
Spathian,73,248.2
Aegean-Bithynian,23,245.9
Pelsonian-Illyrian,49,243.3
Fassanian,30,240.8
Longobardian,35,238.3
Julian,51,234.5
Tuvalian,51,229.5
Lacian,41,221.3
Alaunian,33,213.8
Sevatian,44,210.3
