occurrence_no,collection_no,class,order,family,genus,accepted_name,accepted_rank,coarse_assignment,pres_mode,taxon_environment,early_interval,late_interval,stage_assignment,substage_assignment,citation,ref_author,ref_pubyr,lng,lat,paleolng,paleolat,formation,stratgroup,member,state,cc,abund_value,abund_unit,enterer,Longitude,Latitude
146084,12856,Reptilia,Eosuchia,Kuehneosauridae,Icarosaurus,Icarosaurus siefkeri,species,Eureptilia,body,terrestrial,Norian,,Carnian,Tuvalian,Renesto et al 2010,Colbert,1966,-74.018608,40.811943,-8.55,14.34,Lockatong,Chatham,Ewing Creek,New Jersey,US,1,individuals,E. Fara,NA,NA
146085,12856,Reptilia,Eosuchia,Parasuchidae,Rutiodon,Rutiodon carolinensis,species,Eureptilia,body,terrestrial,Norian,,Carnian,Tuvalian,Renesto et al 2010,Colbert,1965,-74.018608,40.811943,-8.55,14.34,Lockatong,Chatham,Ewing Creek,New Jersey,US,1,specimens,E. Fara,NA,NA
830855,12856,Reptilia,,,Hypuronector,Hypuronector limnaios,species,Eureptilia,body,terrestrial,Norian,,Carnian,Tuvalian,Renesto et al 2010,Colbert and Olsen,2001,-74.018608,40.811943,-8.55,14.34,Lockatong,Chatham,Ewing Creek,New Jersey,US,8,specimens,R. Butler,NA,NA
831029,12856,Osteichthyes,Temnospondyli,Metoposauridae,,Metoposauridae,family,Temnospondyli,body,terrestrial,Norian,,Carnian,Tuvalian,Renesto et al 2010,Colbert and Olsen,2001,-74.018608,40.811943,-8.55,14.34,Lockatong,Chatham,Ewing Creek,New Jersey,US,1,specimens,R. Butler,NA,NA
831030,12856,Reptilia,Eosuchia,Tanystropheidae,Tanytrachelos,Tanytrachelos ahynis,species,Eureptilia,body,terrestrial,Norian,,Carnian,Tuvalian,Renesto et al 2010,Colbert and Olsen,2001,-74.018608,40.811943,-8.55,14.34,Lockatong,Chatham,Ewing Creek,New Jersey,US,NA,,R. Butler,NA,NA
831031,12856,Reptilia,Eosuchia,,,Phytosauria,unranked clade,Eureptilia,body,terrestrial,Norian,,Carnian,Tuvalian,Renesto et al 2010,Olsen,2005,-74.018608,40.811943,-8.55,14.34,Lockatong,Chatham,Ewing Creek,New Jersey,US,NA,,R. Butler,NA,NA
146660,12942,Reptilia,Eosuchia,,Trilophosaurus,Trilophosaurus buettneri,species,Eureptilia,body,terrestrial,Norian,,Carnian,Tuvalian,Desojo and Heckert 2004,Chatterjee,1986,-101.254799,32.175007,-31,6.49,Colorado City,Dockum,,Texas,US,1,specimens,R. Whatley,NA,NA
146661,12942,Reptilia,Eosuchia,,Trilophosaurus,Trilophosaurus buettneri,species,Eureptilia,body,terrestrial,Norian,,Carnian,Tuvalian,Desojo and Heckert 2004,Heckert et al.,2006,-101.254799,32.175007,-31,6.49,Colorado City,Dockum,,Texas,US,140,specimens,R. Butler,NA,NA
968280,12942,Osteichthyes,Temnospondyli,Metoposauridae,Koskinonodon,Koskinonodon perfectus,species,Temnospondyli,body,terrestrial,Norian,,Carnian,Tuvalian,Desojo and Heckert 2004,Long and Murry,1995,-101.254799,32.175007,-31,6.49,Colorado City,Dockum,,Texas,US,1,specimens,R. Butler,NA,NA
1081281,12942,Reptilia,Eosuchia,,,Aetosauria,unranked clade,Eureptilia,body,terrestrial,Norian,,Carnian,Tuvalian,Desojo and Heckert 2004,Spielmann et al.,2006,-101.254799,32.175007,-31,6.49,Colorado City,Dockum,,Texas,US,1,specimens,R. Butler,NA,NA
1081282,12942,Reptilia,Eosuchia,Parasuchidae,,Parasuchidae,family,Eureptilia,body,terrestrial,Norian,,Carnian,Tuvalian,Desojo and Heckert 2004,Spielmann et al.,2006,-101.254799,32.175007,-31,6.49,Colorado City,Dockum,,Texas,US,2,specimens,R. Butler,NA,NA
1081283,12942,Reptilia,Rhynchosauria,,,Rhynchosauria,unranked clade,Eureptilia,body,terrestrial,Norian,,Carnian,Tuvalian,Desojo and Heckert 2004,Spielmann et al.,2006,-101.254799,32.175007,-31,6.49,Colorado City,Dockum,,Texas,US,1,specimens,R. Butler,NA,NA
1081284,12942,Reptilia,Eosuchia,,Trilophosaurus,Trilophosaurus buettneri,species,Eureptilia,body,terrestrial,Norian,,Carnian,Tuvalian,Desojo and Heckert 2004,Spielmann et al.,2006,-101.254799,32.175007,-31,6.49,Colorado City,Dockum,,Texas,US,1,specimens,R. Butler,NA,NA
922175,13003,Reptilia,Eosuchia,,Marasuchus,Marasuchus lilloensis,species,Eureptilia,body,terrestrial,Ladinian,,Carnian,Julian,Marsicano et al 2016,Sereno and Arcucci,1994,-67.816666,-29.833332,-27.02,-33.79,ChaÃƒÂ±ares,Agua de la PeÃƒÂ±a,,La Rioja,AR,1,individuals,R. Butler,NA,NA
922176,13003,Reptilia,Eosuchia,Rauisuchidae,Luperosuchus,Luperosuchus fractus,species,Eureptilia,body,terrestrial,Ladinian,,Carnian,Julian,Marsicano et al 2016,Desojo and Arcucci,2009,-67.816666,-29.833332,-27.02,-33.79,ChaÃƒÂ±ares,Agua de la PeÃƒÂ±a,,La Rioja,AR,1,individuals,R. Butler,NA,NA
1417957,13003,Osteichthyes,Cotylosauria,Traversodontidae,Massetognathus,Massetognathus pascuali,species,Synapsida,body,terrestrial,Ladinian,,Carnian,Julian,Marsicano et al 2016,Abdala,2000,-67.816666,-29.833332,-27.02,-33.79,ChaÃƒÂ±ares,Agua de la PeÃƒÂ±a,,La Rioja,AR,NA,,B. Allen,NA,NA
1417968,13003,Osteichthyes,Cotylosauria,Chiniquodontidae,Chiniquodon,Chiniquodon,genus,Synapsida,body,terrestrial,Ladinian,,Carnian,Julian,Marsicano et al 2016,Abdala,2000,-67.816666,-29.833332,-27.02,-33.79,ChaÃƒÂ±ares,Agua de la PeÃƒÂ±a,,La Rioja,AR,NA,,B. Allen,NA,NA
147521,13043,Reptilia,,Procolophonidae,Procolophon,Procolophon trigoniceps,species,Parareptilia,body,terrestrial,Induan,Olenekian,Olenekian,,,Broom,1905,26.509722,-32.10611,-11.67,-51.38,Katberg,Beaufort,,Eastern Cape,ZA,10,specimens,C. Sidor,-20.17391362,-66.01577591
806914,13043,Reptilia,,Procolophonidae,Procolophon,Procolophon trigoniceps,species,Parareptilia,body,terrestrial,Induan,Olenekian,Olenekian,,,Carroll and Lindsay,1985,26.509722,-32.10611,-11.67,-51.38,Katberg,Beaufort,,Eastern Cape,ZA,1,individuals,T. Liebrecht,-20.17391362,-66.01577591
807183,13043,Reptilia,Eosuchia,,Paliguana,Paliguana whitei,species,Eureptilia,body,terrestrial,Induan,Olenekian,Olenekian,,,Broom,1903,26.509722,-32.10611,-11.67,-51.38,Katberg,Beaufort,,Eastern Cape,ZA,1,individuals,T. Liebrecht,-20.17391362,-66.01577591
843780,13043,Reptilia,,Procolophonidae,Procolophon,Procolophon trigoniceps,species,Parareptilia,body,terrestrial,Induan,Olenekian,Olenekian,,,Seeley,1878,26.509722,-32.10611,-11.67,-51.38,Katberg,Beaufort,,Eastern Cape,ZA,1,individuals,T. Liebrecht,-20.17391362,-66.01577591
843781,13043,Reptilia,,Procolophonidae,Procolophon,Procolophon trigoniceps,species,Parareptilia,body,terrestrial,Induan,Olenekian,Olenekian,,,Seeley,1878,26.509722,-32.10611,-11.67,-51.38,Katberg,Beaufort,,Eastern Cape,ZA,1,individuals,T. Liebrecht,-20.17391362,-66.01577591
843782,13043,Reptilia,,Procolophonidae,Procolophon,Procolophon trigoniceps,species,Parareptilia,body,terrestrial,Induan,Olenekian,Olenekian,,,Seeley,1878,26.509722,-32.10611,-11.67,-51.38,Katberg,Beaufort,,Eastern Cape,ZA,2,individuals,T. Liebrecht,-20.17391362,-66.01577591
1134117,13043,Osteichthyes,Temnospondyli,Amphibamidae,Micropholis,Micropholis stowi,species,Temnospondyli,body,terrestrial,Induan,Olenekian,Olenekian,,,Schoch and Rubidge,2005,26.509722,-32.10611,-11.67,-51.38,Katberg,Beaufort,,Eastern Cape,ZA,9,individuals,R. Butler,-20.17391362,-66.01577591
1142024,13043,Osteichthyes,Temnospondyli,Amphibamidae,Micropholis,Micropholis stowi,species,Temnospondyli,body,terrestrial,Induan,Olenekian,Olenekian,,,Watson,1913,26.509722,-32.10611,-11.67,-51.38,Katberg,Beaufort,,Eastern Cape,ZA,1,individuals,R. Butler,-20.17391362,-66.01577591
149619,13220,Osteichthyes,Cotylosauria,,Therioherpeton,Therioherpeton cargnini,species,Synapsida,body,terrestrial,Carnian,Norian,Carnian,Tuvalian,Martinelli et al 2017,Bonaparte and Barbarena,1975,-53.791389,-29.701944,-9,-38.72,Santa Maria,Rosario do Sul,Alemoa,Rio Grande do Sul,BR,1,individuals,R. Whatley,NA,NA
149620,13220,Reptilia,Rhynchosauria,Rhynchosauridae,Hyperodapedon,Hyperodapedon mariensis,species,Eureptilia,body,terrestrial,Carnian,Norian,Carnian,Tuvalian,Martinelli et al 2017,Langer et al.,2007,-53.791389,-29.701944,-9,-38.72,Santa Maria,Rosario do Sul,Alemoa,Rio Grande do Sul,BR,NA,,R. Butler,NA,NA
895278,13220,Osteichthyes,Cotylosauria,,Prozostrodon,Prozostrodon brasiliensis,species,Synapsida,body,terrestrial,Carnian,Norian,Carnian,Tuvalian,Martinelli et al 2017,Bonaparte and Barberena,2001,-53.791389,-29.701944,-9,-38.72,Santa Maria,Rosario do Sul,Alemoa,Rio Grande do Sul,BR,1,individuals,R. Butler,NA,NA
149837,13266,Osteichthyes,Cotylosauria,,Adelobasileus,Adelobasileus cromptoni,species,,body,terrestrial,Norian,,Norian,Lacian,Martz et al 2012,Lucas and Luo,1993,-101.163887,33.433887,-30.75,7.72,Tecovas,Chinle,,Texas,US,1,specimens,R. Whatley,NA,NA
149839,13266,Osteichthyes,Temnospondyli,,,Temnospondyli,unranked clade,Temnospondyli,body,terrestrial,Norian,,Norian,Lacian,Martz et al 2012,Heckert,2004,-101.163887,33.433887,-30.75,7.72,Tecovas,Chinle,,Texas,US,8,specimens,M. Carrano,NA,NA
149843,13266,Reptilia,Rhynchocephalia,,,Sphenodontia,suborder,Eureptilia,body,terrestrial,Norian,,Norian,Lacian,Martz et al 2012,Heckert,2004,-101.163887,33.433887,-30.75,7.72,Tecovas,Chinle,,Texas,US,20,specimens,M. Carrano,NA,NA
149844,13266,Osteichthyes,Cotylosauria,,,Cynodontia,infraorder,Synapsida,body,terrestrial,Norian,,Norian,Lacian,Martz et al 2012,Heckert,2004,-101.163887,33.433887,-30.75,7.72,Tecovas,Chinle,,Texas,US,1,specimens,M. Carrano,NA,NA
149845,13266,Reptilia,Eosuchia,,Trilophosaurus,Trilophosaurus buettneri,species,Eureptilia,body,terrestrial,Norian,,Norian,Lacian,Martz et al 2012,Heckert,2004,-101.163887,33.433887,-30.75,7.72,Tecovas,Chinle,,Texas,US,7,specimens,M. Carrano,NA,NA
149846,13266,Reptilia,Eosuchia,Parasuchidae,,Mystriosuchinae,subfamily,Eureptilia,body,terrestrial,Norian,,Norian,Lacian,Martz et al 2012,Heckert,2004,-101.163887,33.433887,-30.75,7.72,Tecovas,Chinle,,Texas,US,96,specimens,M. Carrano,NA,NA
149849,13266,Reptilia,Eosuchia,,,Archosauriformes,unranked clade,,body,terrestrial,Norian,,Norian,Lacian,Martz et al 2012,Butler,2010,-101.163887,33.433887,-30.75,7.72,Tecovas,Chinle,,Texas,US,13,specimens,R. Butler,NA,NA
545159,13266,Reptilia,Eosuchia,,Tecovasaurus,Tecovasaurus murryi,species,Eureptilia,body,terrestrial,Norian,,Norian,Lacian,Martz et al 2012,Hunt and Lucas,1994,-101.163887,33.433887,-30.75,7.72,Tecovas,Chinle,,Texas,US,5,specimens,K. Maguire,NA,NA
572609,13266,Reptilia,,,,Reptilia,class,Stem_tetrapoda,body,terrestrial,Norian,,Norian,Lacian,Martz et al 2012,Heckert,2004,-101.163887,33.433887,-30.75,7.72,Tecovas,Chinle,,Texas,US,36,specimens,M. Carrano,NA,NA
572610,13266,Osteichthyes,Cotylosauria,,Colognathus,Colognathus obscurus,species,Stem_tetrapoda,body,terrestrial,Norian,,Norian,Lacian,Martz et al 2012,Heckert,2004,-101.163887,33.433887,-30.75,7.72,Tecovas,Chinle,,Texas,US,2,specimens,M. Carrano,NA,NA
572611,13266,Osteichthyes,Cotylosauria,Dromatheriidae,,Dromatheriidae,family,Stem_tetrapoda,body,terrestrial,Norian,,Norian,Lacian,Martz et al 2012,Heckert,2004,-101.163887,33.433887,-30.75,7.72,Tecovas,Chinle,,Texas,US,2,specimens,M. Carrano,NA,NA
572612,13266,Osteichthyes,Cotylosauria,,,Cynodontia,infraorder,Synapsida,body,terrestrial,Norian,,Norian,Lacian,Martz et al 2012,Heckert,2004,-101.163887,33.433887,-30.75,7.72,Tecovas,Chinle,,Texas,US,1,specimens,M. Carrano,NA,NA
572613,13266,Reptilia,Eosuchia,,,Lepidosauria,superorder,Eureptilia,body,terrestrial,Norian,,Norian,Lacian,Martz et al 2012,Heckert,2004,-101.163887,33.433887,-30.75,7.72,Tecovas,Chinle,,Texas,US,1,specimens,M. Carrano,NA,NA
572614,13266,Reptilia,Rhynchocephalia,,Diphydontosaurus,Diphydontosaurus,genus,Eureptilia,body,terrestrial,Norian,,Norian,Lacian,Martz et al 2012,Heckert,2004,-101.163887,33.433887,-30.75,7.72,Tecovas,Chinle,,Texas,US,1,specimens,M. Carrano,NA,NA
572615,13266,Reptilia,Rhynchocephalia,,Planocephalosaurus,Planocephalosaurus lucasi,species,Eureptilia,body,terrestrial,Norian,,Norian,Lacian,Martz et al 2012,Heckert,2004,-101.163887,33.433887,-30.75,7.72,Tecovas,Chinle,,Texas,US,2,specimens,M. Carrano,NA,NA
572616,13266,Reptilia,Rhynchocephalia,,Fraserosphenodon,Fraserosphenodon latidens,species,Eureptilia,body,terrestrial,Norian,,Norian,Lacian,Martz et al 2012,Heckert,2004,-101.163887,33.433887,-30.75,7.72,Tecovas,Chinle,,Texas,US,1,specimens,M. Carrano,NA,NA
572617,13266,Reptilia,Eosuchia,,,Lepidosauria,superorder,Eureptilia,body,terrestrial,Norian,,Norian,Lacian,Martz et al 2012,Heckert,2004,-101.163887,33.433887,-30.75,7.72,Tecovas,Chinle,,Texas,US,2,specimens,M. Carrano,NA,NA
572618,13266,Reptilia,Eosuchia,,,Archosauromorpha,unranked clade,,body,terrestrial,Norian,,Norian,Lacian,Martz et al 2012,Heckert,2004,-101.163887,33.433887,-30.75,7.72,Tecovas,Chinle,,Texas,US,3,specimens,M. Carrano,NA,NA
572619,13266,Reptilia,Eosuchia,,Trilophosaurus,Trilophosaurus jacobsi,species,Eureptilia,body,terrestrial,Norian,,Norian,Lacian,Martz et al 2012,Heckert et al.,2006,-101.163887,33.433887,-30.75,7.72,Tecovas,Chinle,,Texas,US,2,specimens,M. Carrano,NA,NA
572620,13266,Reptilia,Eosuchia,,,Archosauriformes,unranked clade,,body,terrestrial,Norian,,Norian,Lacian,Martz et al 2012,Heckert,2004,-101.163887,33.433887,-30.75,7.72,Tecovas,Chinle,,Texas,US,2,specimens,M. Carrano,NA,NA
572621,13266,Reptilia,Eosuchia,,,Archosauriformes,unranked clade,,body,terrestrial,Norian,,Norian,Lacian,Martz et al 2012,Heckert,2004,-101.163887,33.433887,-30.75,7.72,Tecovas,Chinle,,Texas,US,1,specimens,M. Carrano,NA,NA
572622,13266,Reptilia,Eosuchia,,,Archosauriformes,unranked clade,,body,terrestrial,Norian,,Norian,Lacian,Martz et al 2012,Heckert,2004,-101.163887,33.433887,-30.75,7.72,Tecovas,Chinle,,Texas,US,4,specimens,M. Carrano,NA,NA
572623,13266,Reptilia,Eosuchia,,,Archosauriformes,unranked clade,,body,terrestrial,Norian,,Norian,Lacian,Martz et al 2012,Heckert,2004,-101.163887,33.433887,-30.75,7.72,Tecovas,Chinle,,Texas,US,1,specimens,M. Carrano,NA,NA
572624,13266,Reptilia,Eosuchia,,,Archosauriformes,unranked clade,,body,terrestrial,Norian,,Norian,Lacian,Martz et al 2012,Heckert,2004,-101.163887,33.433887,-30.75,7.72,Tecovas,Chinle,,Texas,US,1,specimens,M. Carrano,NA,NA
572625,13266,Reptilia,Eosuchia,,,Archosauriformes,unranked clade,,body,terrestrial,Norian,,Norian,Lacian,Martz et al 2012,Heckert,2004,-101.163887,33.433887,-30.75,7.72,Tecovas,Chinle,,Texas,US,1,specimens,M. Carrano,NA,NA
572626,13266,Reptilia,Eosuchia,,,Archosauriformes,unranked clade,,body,terrestrial,Norian,,Norian,Lacian,Martz et al 2012,Heckert,2004,-101.163887,33.433887,-30.75,7.72,Tecovas,Chinle,,Texas,US,1,specimens,M. Carrano,NA,NA
572627,13266,Reptilia,Eosuchia,,,Archosauriformes,unranked clade,,body,terrestrial,Norian,,Norian,Lacian,Martz et al 2012,Heckert,2004,-101.163887,33.433887,-30.75,7.72,Tecovas,Chinle,,Texas,US,11,specimens,M. Carrano,NA,NA
572628,13266,Reptilia,Eosuchia,,,Archosauriformes,unranked clade,,body,terrestrial,Norian,,Norian,Lacian,Martz et al 2012,Heckert,2004,-101.163887,33.433887,-30.75,7.72,Tecovas,Chinle,,Texas,US,4,specimens,M. Carrano,NA,NA
572629,13266,Reptilia,Eosuchia,Stagonolepididae,,Stagonolepididae,unranked clade,Eureptilia,body,terrestrial,Norian,,Norian,Lacian,Martz et al 2012,Heckert,2004,-101.163887,33.433887,-30.75,7.72,Tecovas,Chinle,,Texas,US,1,specimens,M. Carrano,NA,NA
572630,13266,Reptilia,Eosuchia,,,Archosauriformes,unranked clade,,body,terrestrial,Norian,,Norian,Lacian,Martz et al 2012,Butler,2010,-101.163887,33.433887,-30.75,7.72,Tecovas,Chinle,,Texas,US,6,specimens,R. Butler,NA,NA
572631,13266,Reptilia,Eosuchia,,,Archosauriformes,unranked clade,,body,terrestrial,Norian,,Norian,Lacian,Martz et al 2012,Nesbitt et al.,2007,-101.163887,33.433887,-30.75,7.72,Tecovas,Chinle,,Texas,US,5,specimens,M. Carrano,NA,NA
572632,13266,Reptilia,Eosuchia,,Protecovasaurus,Protecovasaurus lucasi,species,Eureptilia,body,terrestrial,Norian,,Norian,Lacian,Martz et al 2012,Heckert,2004,-101.163887,33.433887,-30.75,7.72,Tecovas,Chinle,,Texas,US,1,specimens,M. Carrano,NA,NA
572633,13266,Reptilia,Eosuchia,,Crosbysaurus,Crosbysaurus harrisae,species,Eureptilia,body,terrestrial,Norian,,Norian,Lacian,Martz et al 2012,Heckert,2004,-101.163887,33.433887,-30.75,7.72,Tecovas,Chinle,,Texas,US,11,specimens,M. Carrano,NA,NA
572634,13266,Reptilia,Eosuchia,,Revueltosaurus,Revueltosaurus,genus,Eureptilia,body,terrestrial,Norian,,Norian,Lacian,Martz et al 2012,Heckert,2004,-101.163887,33.433887,-30.75,7.72,Tecovas,Chinle,,Texas,US,1,specimens,M. Carrano,NA,NA
572635,13266,Reptilia,,Procolophonidae,,Procolophonidae,family,Parareptilia,body,terrestrial,Norian,,Norian,Lacian,Martz et al 2012,Heckert,2004,-101.163887,33.433887,-30.75,7.72,Tecovas,Chinle,,Texas,US,2,specimens,M. Carrano,NA,NA
755503,13266,Reptilia,Eosuchia,,Crosbysaurus,Crosbysaurus harrisae,species,Eureptilia,body,terrestrial,Norian,,Norian,Lacian,Martz et al 2012,Heckert,2004,-101.163887,33.433887,-30.75,7.72,Tecovas,Chinle,,Texas,US,3,specimens,M. Carrano,NA,NA
149866,13271,Reptilia,Eosuchia,Silesauridae,Lewisuchus,Lewisuchus admixtus,species,Eureptilia,body,terrestrial,Ladinian,,Carnian,Julian,Marsicano et al 2016,Romer,1972,-67.820557,-29.823055,-27.03,-33.78,ChaÃƒÂ±ares,Agua de la PeÃƒÂ±a,,La Rioja,AR,1,individuals,R. Whatley,NA,NA
149867,13271,Reptilia,Eosuchia,Lagerpetonidae,Lagerpeton,Lagerpeton chanarensis,species,Eureptilia,body,terrestrial,Ladinian,,Carnian,Julian,Marsicano et al 2016,Romer,1972,-67.820557,-29.823055,-27.03,-33.78,ChaÃƒÂ±ares,Agua de la PeÃƒÂ±a,,La Rioja,AR,1,individuals,M. Carrano,NA,NA
149868,13271,Osteichthyes,Cotylosauria,Traversodontidae,Massetognathus,Massetognathus pascuali,species,Synapsida,body,terrestrial,Ladinian,,Carnian,Julian,Marsicano et al 2016,Sereno and Arcucci,1994,-67.820557,-29.823055,-27.03,-33.78,ChaÃƒÂ±ares,Agua de la PeÃƒÂ±a,,La Rioja,AR,NA,,R. Butler,NA,NA
573786,13271,Reptilia,Eosuchia,,,Dinosauriformes,unranked clade,Eureptilia,body,terrestrial,Ladinian,,Carnian,Julian,Marsicano et al 2016,Romer,1972,-67.820557,-29.823055,-27.03,-33.78,ChaÃƒÂ±ares,Agua de la PeÃƒÂ±a,,La Rioja,AR,NA,,M. Carrano,NA,NA
149917,13273,Reptilia,Eosuchia,Rauisuchidae,Postosuchus,Postosuchus kirkpatricki,species,Eureptilia,body,terrestrial,Norian,,Norian,Alaunian,Martz et al 2012,Chatterjee,1985,-101.315002,33.521389,-30.86,7.83,Cooper Canyon,Dockum,,Texas,US,2,individuals,M. Carrano,NA,NA
149918,13273,Reptilia,Eosuchia,Stagonolepididae,Desmatosuchus,Desmatosuchus smalli,species,Eureptilia,body,terrestrial,Norian,,Norian,Alaunian,Martz et al 2012,Parker,2005,-101.315002,33.521389,-30.86,7.83,Cooper Canyon,Dockum,,Texas,US,24,specimens,M. Carrano,NA,NA
149919,13273,Reptilia,Protorosauria,Protorosauridae,Malerisaurus,Malerisaurus,genus,Eureptilia,body,terrestrial,Norian,,Norian,Alaunian,Martz et al 2012,Martz,2008,-101.315002,33.521389,-30.86,7.83,Cooper Canyon,Dockum,,Texas,US,1,specimens,R. Butler,NA,NA
149920,13273,Osteichthyes,Temnospondyli,,Rileymillerus,Rileymillerus cosgriffi,species,Temnospondyli,body,terrestrial,Norian,,Norian,Alaunian,Martz et al 2012,Bolt and Chatterjee,2000,-101.315002,33.521389,-30.86,7.83,Cooper Canyon,Dockum,,Texas,US,1,individuals,M. Carrano,NA,NA
149921,13273,Osteichthyes,Cotylosauria,Tritheledontidae,,Tritheledontidae,family,Synapsida,body,terrestrial,Norian,,Norian,Alaunian,Martz et al 2012,Chatterjee,1983,-101.315002,33.521389,-30.86,7.83,Cooper Canyon,Dockum,,Texas,US,3,specimens,M. Carrano,NA,NA
149922,13273,Reptilia,Eosuchia,,,Phytosauria,unranked clade,Eureptilia,body,terrestrial,Norian,,Norian,Alaunian,Martz et al 2012,Martz,2008,-101.315002,33.521389,-30.86,7.83,Cooper Canyon,Dockum,,Texas,US,2,specimens,R. Whatley,NA,NA
149923,13273,Osteichthyes,Temnospondyli,Metoposauridae,Apachesaurus,Apachesaurus gregorii,species,Temnospondyli,body,terrestrial,Norian,,Norian,Alaunian,Martz et al 2012,Martz,2008,-101.315002,33.521389,-30.86,7.83,Cooper Canyon,Dockum,,Texas,US,NA,,M. Carrano,NA,NA
562834,13273,Reptilia,Eosuchia,Silesauridae,Technosaurus,Technosaurus smalli,species,Eureptilia,body,terrestrial,Norian,,Norian,Alaunian,Martz et al 2012,Chatterjee,1984,-101.315002,33.521389,-30.86,7.83,Cooper Canyon,Dockum,,Texas,US,1,individuals,M. Carrano,NA,NA
562835,13273,Reptilia,Eosuchia,Stagonolepididae,Typothorax,Typothorax,genus,Eureptilia,body,terrestrial,Norian,,Norian,Alaunian,Martz et al 2012,Martz,2008,-101.315002,33.521389,-30.86,7.83,Cooper Canyon,Dockum,,Texas,US,1,individuals,R. Butler,NA,NA
562836,13273,Saurischia,,,Protoavis,Protoavis texensis,species,Eureptilia,body,terrestrial,Norian,,Norian,Alaunian,Martz et al 2012,Chatterjee,1991,-101.315002,33.521389,-30.86,7.83,Cooper Canyon,Dockum,,Texas,US,3,individuals,M. Carrano,NA,NA
562837,13273,Reptilia,Eosuchia,Stagonolepididae,Paratypothorax,Paratypothorax,genus,Eureptilia,body,terrestrial,Norian,,Norian,Alaunian,Martz et al 2012,Small,1989,-101.315002,33.521389,-30.86,7.83,Cooper Canyon,Dockum,,Texas,US,20,specimens,M. Carrano,NA,NA
627521,13273,Reptilia,Eosuchia,Shuvosauridae,Shuvosaurus,Shuvosaurus inexpectatus,species,Eureptilia,body,terrestrial,Norian,,Norian,Alaunian,Martz et al 2012,Chatterjee,1993,-101.315002,33.521389,-30.86,7.83,Cooper Canyon,Dockum,,Texas,US,16,specimens,M. Carrano,NA,NA
627729,13273,Reptilia,Eosuchia,Shuvosauridae,Shuvosaurus,Shuvosaurus inexpectatus,species,Eureptilia,body,terrestrial,Norian,,Norian,Alaunian,Martz et al 2012,Long and Murry,1995,-101.315002,33.521389,-30.86,7.83,Cooper Canyon,Dockum,,Texas,US,1,specimens,M. Carrano,NA,NA
627730,13273,Osteichthyes,Kannemeyeriiformes,,,Kannemeyeriiformes,order,Synapsida,body,terrestrial,Norian,,Norian,Alaunian,Martz et al 2012,FrÃƒÂ¶bisch,2009,-101.315002,33.521389,-30.86,7.83,Cooper Canyon,Dockum,,Texas,US,NA,,R. Butler,NA,NA
627732,13273,Saurischia,,,,Coelophysoidea,superfamily,Eureptilia,body,terrestrial,Norian,,Norian,Alaunian,Martz et al 2012,Nesbitt and Chatterjee,2008,-101.315002,33.521389,-30.86,7.83,Cooper Canyon,Dockum,,Texas,US,1,individuals,M. Carrano,NA,NA
806349,13273,Reptilia,Eosuchia,,,Dinosauriformes,unranked clade,Eureptilia,body,terrestrial,Norian,,Norian,Alaunian,Martz et al 2012,Nesbitt and Chatterjee,2008,-101.315002,33.521389,-30.86,7.83,Cooper Canyon,Dockum,,Texas,US,1,individuals,R. Butler,NA,NA
806350,13273,Saurischia,,,,Saurischia,unranked clade,Eureptilia,body,terrestrial,Norian,,Norian,Alaunian,Martz et al 2012,Nesbitt and Chatterjee,2008,-101.315002,33.521389,-30.86,7.83,Cooper Canyon,Dockum,,Texas,US,1,individuals,R. Butler,NA,NA
806351,13273,Saurischia,,,,Theropoda,unranked clade,Eureptilia,body,terrestrial,Norian,,Norian,Alaunian,Martz et al 2012,Nesbitt and Chatterjee,2008,-101.315002,33.521389,-30.86,7.83,Cooper Canyon,Dockum,,Texas,US,1,specimens,R. Butler,NA,NA
806471,13273,Osteichthyes,Temnospondyli,,Rileymillerus,Rileymillerus cosgriffi,species,Temnospondyli,body,terrestrial,Norian,,Norian,Alaunian,Martz et al 2012,Bolt and Chatterjee,2000,-101.315002,33.521389,-30.86,7.83,Cooper Canyon,Dockum,,Texas,US,1,specimens,R. Butler,NA,NA
806492,13273,Reptilia,,Drepanosauridae,,Drepanosauridae,family,Eureptilia,body,terrestrial,Norian,,Norian,Alaunian,Martz et al 2012,Nesbitt et al.,2007,-101.315002,33.521389,-30.86,7.83,Cooper Canyon,Dockum,,Texas,US,NA,,R. Butler,NA,NA
806714,13273,Reptilia,Rhynchocephalia,Clevosauridae,Clevosaurus,Clevosaurus,genus,Eureptilia,body,terrestrial,Norian,,Norian,Alaunian,Martz et al 2012,Martz,2008,-101.315002,33.521389,-30.86,7.83,Cooper Canyon,Dockum,,Texas,US,1,specimens,R. Butler,NA,NA
806715,13273,Reptilia,Rhynchocephalia,,,Sphenodontia,suborder,Eureptilia,body,terrestrial,Norian,,Norian,Alaunian,Martz et al 2012,Martz,2008,-101.315002,33.521389,-30.86,7.83,Cooper Canyon,Dockum,,Texas,US,1,specimens,R. Butler,NA,NA
806716,13273,Reptilia,Eosuchia,Sphenosuchidae,,Sphenosuchidae,family,Eureptilia,body,terrestrial,Norian,,Norian,Alaunian,Martz et al 2012,Martz,2008,-101.315002,33.521389,-30.86,7.83,Cooper Canyon,Dockum,,Texas,US,4,specimens,R. Butler,NA,NA
