"","coords.x1","coords.x2","collection_no"
"1",-30.3295899716909,-60.0521399509676,22661
"2",91.3878333403942,32.2193093559537,27160
"3",37.0430493148035,34.1604923829339,27952
"4",37.0430493148035,34.1604923829339,28065
"5",40.2257128581189,32.4503502269284,28854
"6",42.8526513686007,30.2476983218246,28855
"7",-28.8392029974618,-60.0544132554517,34816
"8",36.9959501151354,34.2194741090647,37202
"9",15.150404223251,-54.4939863845866,38064
"10",15.0956557925127,-54.5525941789578,38065
"11",8.53737507020755,-15.8338969934719,68053
"12",8.51415162036225,-15.8297046607244,68054
"13",14.9089842468258,17.8370725589808,77197
"14",91.0818455484713,29.7502478508313,78694
"15",1.33231129507851,3.25328515487651,79588
"16",-1.9109651618556,-56.8161487290209,79811
"17",-27.4445772359708,-62.2113141618602,80064
"18",-28.5924668641256,-61.7867286354112,80216
"19",-28.0424614008764,-61.9155478789238,80219
"20",-28.1073279543205,-61.8277220348398,80220
"21",-28.5955951592712,-61.4176472526386,80223
"22",-28.0424614008764,-61.9155478789238,80225
"23",43.1038566339593,-55.2295602722932,80572
"24",42.8526513686007,30.2476983218246,80712
"25",-28.803811465329,-62.0543346861065,80826
"26",22.7949606291018,15.7036655798335,81115
"27",-29.6594488194546,-60.2648810957208,84714
"28",8.63874769429901,-16.2315613795483,84824
"29",22.0582977016997,15.7771326945813,84836
"30",12.888189315149,-54.2858223672675,84914
"31",49.1280954212034,30.8588633722828,85483
"32",23.6199233041902,16.4988960462466,85484
"33",22.8020265597957,15.7071567649258,85488
"34",22.8073011909345,15.7127393442713,85489
"35",23.0718676381852,16.4055890332407,85490
"36",24.3443242804655,-52.6807828915002,85494
"37",26.8027233532054,-52.1660759695322,85505
"38",25.6965057925299,-52.6332661284835,85506
"39",26.9847258712675,-52.1151970515453,85512
"40",22.7805861859895,15.7163345199874,85557
"41",23.0423855152566,16.3948081544229,85561
"42",23.5065686240837,15.5908643600441,85564
"43",23.2089516823836,16.4007664077832,85565
"44",-27.4323661954428,-62.1919794495554,85948
"45",12.888189315149,-54.2858223672675,86257
"46",-28.1138755223343,-61.5769203909262,86258
"47",-29.0789320449555,-60.2421285380909,86275
"48",-30.7353750492017,-59.7701141355791,86276
