collection_no,lng,lat,n_occs,early_interval,late_interval,max_ma,min_ma,cc,formation,stratgroup,member,zone,lithology1,environment,collection_size
7204,173.266663,-41.299999,11,Changhsingian,,254.17,252.17,NZ,Stephens,,,Aperispirifer nelsonensis,,,
7276,168.5,-45.5,9,Changhsingian,,254.17,252.17,NZ,,,,Wairakiella rostrata,,,
8103,99,18,9,Changhsingian,,254.17,252.17,TH,Huai Thak,,,?Palaeofusulina sinensis,"""shale""",,
8145,99,18,24,Changhsingian,,254.17,252.17,TH,Hua Thak,,,,,,
10642,-105.783333,35.200001,12,Late Triassic,,237,201.3,US,Carita Creek,,,,mudstone,fluvial indet.,
10696,14.066667,54.316666,10,Wuchiapingian,,259.9,254.17,DE,Zechstein,,,,dolomite,"reef, buildup or bioherm",
11143,45,20,6,Zechstein,,259,252.3,SA,Khuff,,Mindhnab Shales,,claystone,fluvial-lacustrine indet.,
11167,-106,39.216667,13,Permian,Triassic,298.9,201.3,US,,,,,,terrestrial indet.,
11222,-106.783333,42.966667,1,Lopingian,,259.9,252.17,US,Phosphoria,,Tosi Chert,,chert,marine indet.,
11223,-106.783333,42.966667,43,Lopingian,,259.9,252.17,US,Park City,,Ervay,,lime mudstone,marine indet.,
11224,-106.783333,42.966667,23,Lopingian,,259.9,252.17,US,Phosphoria,,Retort Phosphatic Shale,,claystone,marine indet.,
11227,-106.783333,42.966667,13,Wuchiapingian,,259.9,254.17,US,Phosphoria,,Rex Chert,,chert,marine indet.,
11228,-106.783333,42.966667,45,Wuchiapingian,,259.9,254.17,US,Park City,,Franson,,lime mudstone,marine indet.,
11232,-110.816666,39.599998,15,Wuchiapingian,,259.9,254.17,US,Park City,,Franson,,lime mudstone,marine indet.,
11233,-110.816666,39.599998,5,Wuchiapingian,,259.9,254.17,US,Phosphoria,,Rex Chert,,chert,marine indet.,
11234,-110.816666,39.599998,25,Wuchiapingian,,259.9,254.17,US,Park City,,Franson,,lime mudstone,marine indet.,
11273,-109.42778,47.0625,22,Lopingian,,259.9,252.17,US,Phosphoria,,Tosi Chert,,chert,marine indet.,
11275,-109.42778,47.0625,18,Lopingian,,259.9,252.17,US,Phosphoria,,Retort Phosphatic Shale,,claystone,marine indet.,
11278,-109.42778,47.0625,6,Wuchiapingian,,259.9,254.17,US,Phosphoria,,Rex Chert,,chert,marine indet.,
11279,-109.42778,47.0625,23,Wuchiapingian,,259.9,254.17,US,Park City,,Franson,,lime mudstone,marine indet.,
11282,-114,44,1,Lopingian,,259.9,252.17,US,Phosphoria,,Retort Phosphatic Shale,,claystone,marine indet.,
11283,-114,44,27,Wuchiapingian,,259.9,254.17,US,Phosphoria,,Rex Chert,,chert,marine indet.,
11284,-114,44,7,Wuchiapingian,,259.9,254.17,US,Park City,,Franson,,lime mudstone,marine indet.,
12856,-74.018608,40.811943,13,Norian,,228,208.5,US,Lockatong,Chatham,Ewing Creek,,siltstone,lacustrine - large,
12942,-101.254799,32.175007,7,Norian,,228,208.5,US,Colorado City,Dockum,,,mudstone,crevasse splay,
13003,-67.816666,-29.833332,4,Ladinian,,242,237,AR,Chañares,Agua de la Peña,,,not reported,terrestrial indet.,
13043,26.509722,-32.10611,8,Induan,Olenekian,252.17,247.2,ZA,Katberg,Beaufort,,,mudstone,fluvial indet.,
13220,-53.791389,-29.701944,3,Carnian,Norian,237,208.5,BR,Santa Maria,Rosario do Sul,Alemoa,Hyperodapedon,mudstone,terrestrial indet.,
13266,-101.163887,33.433887,60,Norian,,228,208.5,US,Tecovas,Chinle,,,sandstone,channel lag,
13271,-67.820557,-29.823055,4,Ladinian,,242,237,AR,Chañares,Agua de la Peña,,,not reported,fluvial-lacustrine indet.,
13273,-101.315002,33.521389,32,Norian,,228,208.5,US,Cooper Canyon,Dockum,,,mudstone,"""floodplain""",
13285,8.978333,49.023609,1,Norian,,228,208.5,DE,Löwenstein,Keuper,Lower Stubensandstein,,marl,terrestrial indet.,1 individuals
13344,9.233333,45.150002,7,Anisian,Ladinian,247.2,237,CH,Monte San Giorgio bituminous shales,,,,"""shale""",offshore indet.,800 specimens
14288,19.5,-33.5,2,Wuchiapingian,Changhsingian,259.9,252.17,ZA,,Lower Beaufort,,,mudstone,delta plain,20 specimens
14290,22.549999,-33.083332,1,Capitanian,Wuchiapingian,265.1,254.17,ZA,Abrahamskraal,Lower Beaufort,,,,,
14329,29.333332,-28.333332,6,Wuchiapingian,Griesbachian,259.9,251.3,ZA,Estcourt,Lower Beaufort,,,mudstone,,3000 specimens
14331,29.166668,-28.5,6,Wuchiapingian,Griesbachian,259.9,251.3,ZA,Estcourt,Lower Beaufort,,,,,50 specimens
14333,29.166668,-28.5,3,Wuchiapingian,Griesbachian,259.9,251.3,ZA,Estcourt,Lower Beaufort,,,,,50 specimens
14334,29.166668,-28.5,2,Wuchiapingian,Griesbachian,259.9,251.3,ZA,Estcourt,Lower Beaufort,,,,,30 specimens
14335,29.166668,-28.666668,4,Wuchiapingian,Griesbachian,259.9,251.3,ZA,Estcourt,Lower Beaufort,,,,,500 specimens
14336,29.333332,-28.666668,11,Wuchiapingian,Griesbachian,259.9,251.3,ZA,Estcourt,Lower Beaufort,,,"""shale""",,3000 specimens
14337,29.666668,-28.833332,11,Wuchiapingian,Griesbachian,259.9,251.3,ZA,Estcourt,Lower Beaufort,,,,,3000 specimens
14338,29.666668,-28.833332,5,Wuchiapingian,Griesbachian,259.9,251.3,ZA,Estcourt,Lower Beaufort,,,,,250 specimens
14339,29.833332,-29,4,Changhsingian,,254.17,252.17,ZA,Estcourt,Lower Beaufort,,Daptocephalus,"""shale""",delta plain,1000 specimens
14341,29.833332,-29,10,Wuchiapingian,Griesbachian,259.9,251.3,ZA,Estcourt,Lower Beaufort,,,,,3000 specimens
14342,29.833332,-29,7,Wuchiapingian,Griesbachian,259.9,251.3,ZA,Estcourt,Lower Beaufort,,,,,75 specimens
14344,29.833332,-29,4,Changhsingian,,254.17,252.17,ZA,Estcourt,Lower Beaufort,,Daptocephalus,"""shale""",delta plain,500 specimens
14346,30,-29,2,Wuchiapingian,Griesbachian,259.9,251.3,ZA,Estcourt,Lower Beaufort,,,,,10 specimens
14347,30,-29.166668,19,Wuchiapingian,Griesbachian,259.9,251.3,ZA,Estcourt,Lower Beaufort,,,"""shale""",,7500 specimens
14349,30,-29.166668,6,Wuchiapingian,Griesbachian,259.9,251.3,ZA,Estcourt,Lower Beaufort,,,,,200 specimens
14350,30,-29.166668,12,Changhsingian,,254.17,252.17,ZA,Estcourt,Lower Beaufort,,,mudstone,delta plain,700 specimens
14353,30,-29.166668,5,Wuchiapingian,Griesbachian,259.9,251.3,ZA,Estcourt,Lower Beaufort,,,,,500 specimens
14354,30.166668,-29.166668,9,Wuchiapingian,Griesbachian,259.9,251.3,ZA,Estcourt,Lower Beaufort,,,,,400 specimens
14356,30,-29.333332,21,Changhsingian,,254.17,252.17,ZA,Estcourt,Lower Beaufort,,,"""shale""",delta plain,25 specimens
14357,30.166668,-29.5,14,Changhsingian,,254.17,252.17,ZA,Estcourt,Lower Beaufort,,,"""shale""",delta plain,5000 specimens
14358,30,-29.5,6,Wuchiapingian,Griesbachian,259.9,251.3,ZA,Estcourt,Lower Beaufort,,,"""shale""",,3000 specimens
14359,30,-29.5,10,Wuchiapingian,Griesbachian,259.9,251.3,ZA,Estcourt,Lower Beaufort,,,,,500 specimens
14360,30,-29.5,5,Wuchiapingian,Griesbachian,259.9,251.3,ZA,Estcourt,Lower Beaufort,,,,,200 specimens
14361,29.78657,-29.79953,24,Changhsingian,,254.17,252.17,ZA,Escourt,Lower Beaufort,,,"""shale""",delta plain,6000 specimens
14362,32,-28.5,4,Changhsingian,,254.17,252.17,ZA,Estcourt,Lower Beaufort,,,"""shale""",delta plain,25 specimens
14363,26.783333,-30.733334,3,Spathian,Anisian,251.3,242,ZA,Burgersdorp,Upper Beaufort,,,sandstone,fluvial indet.,9 specimens
14364,26.783333,-30.733334,1,Spathian,Anisian,251.3,242,ZA,Burgersdorp,Upper Beaufort,,,sandstone,fluvial indet.,1 specimens
14365,26.783333,-30.733334,2,Spathian,Anisian,251.3,242,ZA,Burgersdorp,Upper Beaufort,,,sandstone,fluvial indet.,7 specimens
14366,26.716667,-30.75,1,Spathian,Anisian,251.3,242,ZA,Burgersdorp,Upper Beaufort,,,sandstone,fluvial indet.,1 specimens
14367,26.716667,-30.683332,2,Spathian,Anisian,251.3,242,ZA,Burgersdorp,Upper Beaufort,,,sandstone,fluvial indet.,3 specimens
14368,26.716667,-30.683332,3,Spathian,Anisian,251.3,242,ZA,Burgersdorp,Upper Beaufort,,,sandstone,fluvial indet.,13 specimens
14369,26.716667,-30.683332,1,Spathian,Anisian,251.3,242,ZA,Burgersdorp,Upper Beaufort,,,sandstone,fluvial indet.,2 specimens
14370,26.700001,-30.683332,2,Spathian,Anisian,251.3,242,ZA,Burgersdorp,Upper Beaufort,,,sandstone,fluvial indet.,3 specimens
14371,26.700001,-30.683332,1,Spathian,Anisian,251.3,242,ZA,Burgersdorp,Upper Beaufort,,,sandstone,fluvial indet.,2 specimens
14372,26.700001,-30.683332,1,Spathian,Anisian,251.3,242,ZA,Burgersdorp,Upper Beaufort,,,sandstone,fluvial indet.,1 specimens
14373,26.700001,-30.683332,2,Spathian,Anisian,251.3,242,ZA,Burgersdorp,Upper Beaufort,,,"""shale""",fluvial indet.,2 specimens
20654,26.700001,-30.700001,4,Spathian,Anisian,251.3,242,ZA,Burgersdorp,Upper Beaufort,,,sandstone,fluvial indet.,11 specimens
20655,26.700001,-30.700001,13,Spathian,Anisian,251.3,242,ZA,Burgersdorp,Upper Beaufort,,,sandstone,fluvial indet.,157 specimens
20659,15.65,40.483334,50,Ladinian,,242,237,IT,Mt. Facito,,,,"""reef rocks""","reef, buildup or bioherm",
20660,26.716667,-30.700001,10,Spathian,Anisian,251.3,242,ZA,Burgersdorp,Upper Beaufort,,,sandstone,fluvial indet.,62 specimens
20663,26.716667,-30.700001,1,Spathian,Anisian,251.3,242,ZA,Burgersdorp,Upper Beaufort,,,sandstone,fluvial indet.,2 specimens
20665,26.716667,-30.700001,2,Spathian,Anisian,251.3,242,ZA,Burgersdorp,Upper Beaufort,,,sandstone,fluvial indet.,2 specimens
20666,15.65,40.483334,10,Anisian,Ladinian,247.2,237,IT,Mt. Facito,,,,wackestone,open shallow subtidal,
20667,15.65,40.483334,19,Ladinian,,242,237,IT,Mt. Facito,,,,,lagoonal/restricted shallow subtidal,
20668,26.716667,-30.700001,1,Spathian,Anisian,251.3,242,ZA,Burgersdorp,Upper Beaufort,,,sandstone,fluvial indet.,1 specimens
20669,26.683332,-30.733334,2,Spathian,Anisian,251.3,242,ZA,Burgersdorp,Upper Beaufort,,,sandstone,fluvial indet.,6 specimens
20670,26.666668,-30.666668,1,Spathian,Anisian,251.3,242,ZA,Burgersdorp,Upper Beaufort,,,sandstone,fluvial indet.,1 specimens
20671,27,-31,1,Spathian,Anisian,251.3,242,ZA,Burgersdorp,Upper Beaufort,,,sandstone,fluvial indet.,4 specimens
20672,26.65,-30.700001,1,Spathian,Anisian,251.3,242,ZA,Burgersdorp,Upper Beaufort,,,sandstone,fluvial indet.,1 specimens
20675,26.65,-30.716667,2,Spathian,Anisian,251.3,242,ZA,Burgersdorp,Upper Beaufort,,,sandstone,fluvial indet.,2 specimens
20676,26.65,-30.716667,4,Spathian,Anisian,251.3,242,ZA,Burgersdorp,Upper Beaufort,,,sandstone,fluvial indet.,5 specimens
20679,26.65,-30.716667,3,Spathian,Anisian,251.3,242,ZA,Burgersdorp,Upper Beaufort,,,sandstone,fluvial indet.,5 specimens
20681,26.65,-30.716667,2,Spathian,Anisian,251.3,242,ZA,Burgersdorp,Upper Beaufort,,,sandstone,fluvial indet.,4 specimens
20682,27,-31,6,Spathian,Anisian,251.3,242,ZA,Burgersdorp,Upper Beaufort,,,sandstone,fluvial indet.,11 specimens
20686,26.65,-30.716667,3,Spathian,Anisian,251.3,242,ZA,Burgersdorp,Upper Beaufort,,,sandstone,fluvial indet.,3 specimens
20687,27,-31,3,Spathian,Anisian,251.3,242,ZA,Burgersdorp,Upper Beaufort,,,sandstone,fluvial indet.,3 specimens
20688,27,-31,1,Spathian,Anisian,251.3,242,ZA,Burgersdorp,Upper Beaufort,,,sandstone,fluvial indet.,1 specimens
20689,27,-31,9,Spathian,Anisian,251.3,242,ZA,Burgersdorp,Upper Beaufort,,,sandstone,fluvial indet.,143 specimens
20691,26.5,-30.833332,2,Spathian,Anisian,251.3,242,ZA,Burgersdorp,Upper Beaufort,,,sandstone,fluvial indet.,6 specimens
20692,26.333332,-31,7,Spathian,Anisian,251.3,242,ZA,Burgersdorp,Upper Beaufort,,,sandstone,fluvial indet.,14 specimens
20693,26,-31,4,Spathian,Anisian,251.3,242,ZA,Burgersdorp,Upper Beaufort,,,sandstone,fluvial indet.,7 specimens
20694,26.333332,-31,2,Spathian,Anisian,251.3,242,ZA,Burgersdorp,Upper Beaufort,,,sandstone,fluvial indet.,9 specimens
20695,27,-31.666668,1,Spathian,Anisian,251.3,242,ZA,Burgersdorp,Upper Beaufort,,,sandstone,fluvial indet.,1 specimens
20696,27.333332,-31.666668,9,Spathian,Anisian,251.3,242,ZA,Burgersdorp,Upper Beaufort,,,sandstone,fluvial indet.,36 specimens
20989,148,-22,1,Capitanian,Longtanian,265.1,254,AU,Fair Hill,Blackwater,,,,,
20990,148,-24,6,Longtanian,,259,254,AU,Black Alley Shale,Back Creek,,,"""shale""",lacustrine indet.,
20991,148,-24,7,Longtanian,,259,254,AU,Black Alley Shale,Back Creek,,,"""shale""",lacustrine indet.,
20994,148,-24,2,Longtanian,,259,254,AU,Black Alley Shale,Back Creek,,,"""shale""",lacustrine indet.,
20995,148,-24,2,Longtanian,,259,254,AU,,Back Creek,,,"""shale""",lacustrine indet.,
21009,148,-24,3,Longtanian,,259,254,AU,Black Alley Shale,Back Creek,,,"""shale""",lacustrine indet.,
21018,148,-25,3,Longtanian,Changhsingian,259,252.17,AU,Bandanna,Blackwater,,,"""shale""",fluvial indet.,
21024,148,-23,5,Capitanian,Longtanian,265.1,254,AU,Fair Hill,Blackwater,,,,,
21027,148,-23,8,Longtanian,,259,254,AU,Burngrove,Blackwater,,,,,
21030,149,-23,6,Longtanian,,259,254,AU,Burngrove equivalents,Blackwater,,Dawson Tectonic,,,
21040,149,-23,4,Longtanian,,259,254,AU,Burngrove equivalents,Blackwater,,,,,
21044,149,-23,3,Capitanian,Changhsingian,265.1,252.17,AU,Burngrove equivalent,Blackwater,,,,,
21045,148,-23,10,Longtanian,,259,254,AU,Burngrove,Blackwater,,,,,
21046,148,-23,8,Longtanian,Changhsingian,259,252.17,AU,Rangal Coal Measures,Blackwater,,,,fluvial indet.,
21059,148,-22,5,Longtanian,Changhsingian,259,252.17,AU,Rangal Coal Measures,Blackwater,,,,fluvial indet.,
21060,148,-22,3,Longtanian,Changhsingian,259,252.17,AU,Rangal Coal Measures,Blackwater,,,,fluvial indet.,
21061,148,-25,2,Longtanian,Changhsingian,259,252.17,AU,Bandanna,,,,sandstone,fluvial indet.,
21062,148,-24,1,Longtanian,Changhsingian,259,252.17,AU,Bandanna,Blackwater,,,sandstone,fluvial indet.,
21064,149,-23,1,Longtanian,,259,254,AU,Burngrove equivalent,Blackwater,,,,,
21065,149,-23,2,Longtanian,,259,254,AU,Burngrove,Blackwater,,,,,
21066,150,-24,2,Longtanian,,259,254,AU,Baralaba Coal Measures,Blackwater,Kaloola,,,,
21067,150,-24,4,Longtanian,,259,254,AU,Baralaba Coal Measures,Blackwater,Kaloola,,,,
21068,148,-24,1,Changhsingian,,254.17,252.17,AU,Bandanna,Blackwater,,,,,
21069,148,-24,1,Longtanian,,259,254,AU,Black Alley Shale,Back Creek,,,"""shale""",lacustrine indet.,
21071,148,-25,1,Changhsingian,,254.17,252.17,AU,Bandanna,Blackwater,,,"""shale""",fluvial indet.,
21072,150,-24,2,Longtanian,,259,254,AU,Baralaba Coal Measures,Blackwater,Kaloola,,coal,,
21077,148,-22,1,Capitanian,Longtanian,265.1,254,AU,Fair Hill,Back Creek,,,,,
21082,148,-23,1,Longtanian,,259,254,AU,Burngrove,Blackwater,,,,marginal marine indet.,
21083,148,-24,1,Capitanian,Longtanian,265.1,254,AU,Peawaddy,Back Creek,,,,marine indet.,
21088,148,-24,2,Longtanian,,259,254,AU,Black Alley Shale,Back Creek,,,"""shale""",lacustrine indet.,
21093,148,-25,1,Changhsingian,,254.17,252.17,AU,Bandanna,Blackwater,,,"""shale""",fluvial indet.,
21098,148,-23,1,Capitanian,Changhsingian,265.1,252.17,AU,,,,,,,
21102,150,-24,1,Longtanian,Changhsingian,259,252.17,AU,Baralaba Coal Measures,Blackwater,upper part,,,fluvial-lacustrine indet.,
21103,148,-24,1,Longtanian,,259,254,AU,Black Alley Shale,Back Creek,,,"""shale""",lacustrine indet.,
21104,148,-24,1,Longtanian,Changhsingian,259,252.17,AU,Bandanna,Blackwater,,,sandstone,fluvial indet.,
21105,148,-23,1,Longtanian,,259,254,AU,Burngrove,Blackwater,,,,marginal marine indet.,
21166,125.949997,-8.816667,16,Norian,,228,208.5,TL,,,,,framestone,"reef, buildup or bioherm",
21171,163.343613,-84.82,3,Capitanian,Changhsingian,265.1,252.17,AA,Buckley,Beacon,,,chert,terrestrial indet.,
21179,125.949997,-8.8,2,Norian,,228,208.5,TL,,,,,"""limestone""",marine indet.,
21180,125.949997,-8.8,6,Norian,,228,208.5,TL,,,,,"""reef rocks""","reef, buildup or bioherm",
21181,125.95417,-8.816667,2,Carnian,Norian,237,208.5,TL,,,,,framestone,"reef, buildup or bioherm",
21182,125.949997,-8.811111,17,Norian,,228,208.5,TL,,,,,"""reef rocks""","reef, buildup or bioherm",
22661,22.014444,-32.147778,16,Wuchiapingian,,259.9,254.17,ZA,Teekloof,Beaufort,,Tropidostoma Assemblage Zone,sandstone,crevasse splay,
22662,21.5166,-31.916599,1,Capitanian,Wuchiapingian,265.1,254.17,ZA,Teekloof,,,,siltstone,fluvial indet.,14 specimens
22666,-100.883331,32.950001,2,Carnian,Norian,237,208.5,US,Santa Rosa Sandstone,Dockum,,,sandstone,"""channel""",5 specimens
22680,8.016667,47.5,10,Norian,,228,208.5,CH,Löwenstein,Keuper,,,marl,"""floodplain""",18 specimens
22683,8.65,48.066669,4,Norian,,228,208.5,DE,Löwenstein,Keuper,,,mudstone,"""floodplain""",
22704,-101.247223,32.172222,30,Norian,,228,208.5,US,Colorado City,Dockum,,,mudstone,crevasse splay,
22705,-109.358612,34.513889,20,Norian,,228,208.5,US,Chinle,,Blue Mesa,,conglomerate,crevasse splay,
22706,-101.247002,32.1721,18,Norian,,228,208.5,US,Colorado City,Dockum,,,mudstone,crevasse splay,40 specimens
22707,-101.254799,32.175007,7,Norian,,228,208.5,US,Colorado City,Dockum,,,mudstone,crevasse splay,17 specimens
22718,-105.793999,35.2374,10,Carnian,,237,228,US,Garita Creek,,,,mudstone,lacustrine - small,100 specimens
22903,-24,72,,Griesbachian,,252.17,251.3,GL,Wordie Creek,,,,,,
22946,-2.483333,54.568333,18,Changhsingian,,254.17,252.17,UK,,,Hilton Plant Series,,marl,marine indet.,
22967,-1.266667,52.983334,18,Changhsingian,,254.17,252.17,UK,,,,,sandstone,marine indet.,
22980,-2.483333,54.583332,14,Changhsingian,,254.17,252.17,UK,,,,,marl,marine indet.,
22981,-2.483333,54.583332,15,Changhsingian,,254.17,252.17,UK,,,,,marl,marine indet.,
22982,-2.483333,54.566666,13,Changhsingian,,254.17,252.17,UK,,,,,marl,marine indet.,
22994,-121.783333,53.083332,16,Norian,,228,208.5,CA,,Takla,,,"""reef rocks""","reef, buildup or bioherm",
22995,14.333333,47.633331,28,Julian,,235,232,AT,Tisovec Limestone,,,,bindstone,"reef, buildup or bioherm",
22999,-2.483333,54.583332,14,Changhsingian,,254.17,252.17,UK,,,,,marl,marine indet.,
23000,-1.266667,52.983334,11,Wuchiapingian,Changhsingian,259.9,252.17,UK,,,,,sandstone,marine indet.,
23002,29.5,-29.5,47,Carnian,,237,228,ZA,Molteno,,,,"""shale""","""channel""",
23003,29.049999,-28.566668,42,Late Triassic,,237,201.3,ZA,Molteno,,,,"""shale""","""channel""",
23004,29,-30.5,29,Carnian,,237,228,ZA,Molteno,Karoo Basin,,,"""shale""","""floodplain""",
23005,11.666667,46.566666,15,Wuchiapingian,Changhsingian,259.9,252.17,IT,Groedner Sandstein,,,,claystone,fluvial-deltaic indet.,
23015,29.5,-29.5,27,Late Triassic,,237,201.3,ZA,Molteno,,,,"""shale""","""channel""",
23063,-2.483333,54.583332,12,Changhsingian,,254.17,252.17,UK,,,,,marl,marine indet.,
23064,-2.483333,54.583332,16,Changhsingian,,254.17,252.17,UK,,,,,sandstone,marine indet.,
23065,-2.483333,54.583332,17,Changhsingian,,254.17,252.17,UK,,,,,sandstone,marine indet.,
23066,-2.483333,54.583332,14,Changhsingian,,254.17,252.17,UK,,,,,sandstone,marine indet.,
23067,-2.483333,54.583332,15,Changhsingian,,254.17,252.17,UK,,,,,sandstone,marine indet.,
23069,29.5,-29.5,15,Late Triassic,,237,201.3,ZA,Molteno,,,,"""shale""","""channel""",
23070,29.5,-29.5,15,Late Triassic,,237,201.3,ZA,Molteno,,,,"""shale""","""channel""",
23074,-2.483333,54.583332,10,Changhsingian,,254.17,252.17,UK,,,,,sandstone,marine indet.,
23075,27.5,-29.5,27,Carnian,,237,228,LS,Molteno,,,,not reported,wet floodplain,
23076,29.5,-29.5,23,Late Triassic,,237,201.3,ZA,Molteno,,,,,,
23077,-2.483333,54.583332,14,Changhsingian,,254.17,252.17,UK,,,,,"""shale""",marine indet.,
23084,26.5,-31.1,29,Carnian,,237,228,ZA,Molteno,Stormberg,,,not reported,wet floodplain,
23086,28,-31.5,25,Late Triassic,,237,201.3,ZA,Molteno,,,,,,
23087,27.5,-29.5,15,Late Triassic,,237,201.3,LS,Molteno,,,,,,
23093,26.883333,-30.799999,12,Late Triassic,,237,201.3,ZA,Molteno,,,,,,
23095,26.9,-30.533333,13,Carnian,,237,228,ZA,Molteno,Stormberg,,,not reported,"""floodplain""",
23125,-2.483333,54.583332,10,Changhsingian,,254.17,252.17,UK,,,,,"""shale""",marine indet.,
23126,-2.483333,54.583332,10,Changhsingian,,254.17,252.17,UK,,,,,sandstone,marine indet.,
23127,26.466667,-31.483334,12,Late Triassic,,237,201.3,ZA,Molteno,,,,,,
23128,27.5,-29.5,8,Late Triassic,,237,201.3,LS,Molteno,,,,,,
23129,27.5,-30,6,Late Triassic,,237,201.3,LS,Molteno,,,,,,
23130,27,-30,5,Late Triassic,,237,201.3,ZA,Molteno,,,,,,
23131,26.433332,-31.466667,18,Carnian,,237,228,ZA,Molteno,Karoo Basin,,,"""shale""","""floodplain""",
23132,26.716667,-30.9,17,Late Triassic,,237,201.3,ZA,Molteno,,,,,,
23133,27.916668,-31.5,19,Carnian,,237,228,ZA,Molteno,Karoo Basin,,,mudstone,fluvial-lacustrine indet.,
23134,28,-31.533333,18,Carnian,,237,228,ZA,Molteno,Karoo Basin,,,"""shale""",fluvial-lacustrine indet.,
23135,-1.266667,52.983334,8,Wuchiapingian,Changhsingian,259.9,252.17,UK,,,,,sandstone,marine indet.,
23136,26.816668,-30.5,6,Late Triassic,,237,201.3,ZA,Molteno,,,,,,
23137,-1.266667,52.985832,14,Wuchiapingian,Changhsingian,259.9,252.17,UK,,,,,sandstone,marine indet.,
23138,27.783333,-31.4,5,Late Triassic,,237,201.3,ZA,Molteno,,,,,,
23139,26.966667,-30.833332,6,Late Triassic,,237,201.3,ZA,Molteno,,,,,,
23140,26.466667,-31.483334,7,Late Triassic,,237,201.3,ZA,Molteno,,,,,,
23142,26.833332,-31.466667,50,Carnian,,237,228,ZA,Molteno,Stormberg,,,"""shale""",lacustrine - small,
23143,26.216667,-31.566668,44,Carnian,,237,228,ZA,Molteno,Karoo Basin,,,mudstone,lacustrine - small,
23144,26.9,-31.483334,13,Late Triassic,,237,201.3,ZA,Molteno,,,,"""shale""",lacustrine indet.,
23147,26.9,-31.516666,12,Late Triassic,,237,201.3,ZA,Molteno,,,,"""shale""",lacustrine indet.,
23151,-1.266667,52.983334,14,Wuchiapingian,Changhsingian,259.9,252.17,UK,,,,,sandstone,marine indet.,
23155,-1.266667,52.983334,8,Wuchiapingian,Changhsingian,259.9,252.17,UK,,,,,siltstone,marine indet.,
23157,-1.266667,52.983334,8,Wuchiapingian,Changhsingian,259.9,252.17,UK,,,,,sandstone,marine indet.,
23167,28.433332,-31.166668,12,Late Triassic,,237,201.3,ZA,Molteno,,,,"""shale""",lacustrine indet.,
23168,26.383333,-31.4,5,Late Triassic,,237,201.3,ZA,Molteno,,,,,,
23170,28.516001,-30.683001,16,Carnian,,237,228,ZA,Molteno,Stormberg,,,not reported,lacustrine - small,
23172,27,-31.5,11,Late Triassic,,237,201.3,ZA,Molteno,,,,"""shale""","""floodplain""",
23175,26.799999,-31.049999,21,Late Triassic,,237,201.3,ZA,Molteno,,,,,,
23220,26.5,-31.133333,5,Late Triassic,,237,201.3,ZA,Molteno,,,,,,
23221,26.950001,-30.666668,4,Late Triassic,,237,201.3,ZA,Molteno,,,,,,
23222,26.266666,-31.566668,12,Late Triassic,,237,201.3,ZA,Molteno,,,,,,
23223,27.933332,-31.450001,12,Late Triassic,,237,201.3,ZA,Molteno,,,,,,
23224,29,-30,9,Late Triassic,,237,201.3,ZA,Molteno,,,,,,
23225,26.166668,-31.583332,7,Late Triassic,,237,201.3,ZA,Molteno,,,,,,
23226,26.950001,-30.6,6,Late Triassic,,237,201.3,ZA,Molteno,,,,,,
23227,26.933332,-30.716667,6,Late Triassic,,237,201.3,ZA,Molteno,,,,,,
23228,27.950001,-31.516666,14,Late Triassic,,237,201.3,ZA,Molteno,,,,,,
23229,27.933332,-31.5,13,Late Triassic,,237,201.3,ZA,Molteno,,,,,,
23241,-1.266667,52.983334,14,Changhsingian,,254.17,252.17,UK,,,,,sandstone,marine indet.,
23242,-1.266667,52.983334,12,Changhsingian,,254.17,252.17,UK,,,,,sandstone,marine indet.,
23243,11.6,50.033333,4,Ladinian,,242,237,DE,Erfurt,,Lingula Dolomite,,lime mudstone,"reef, buildup or bioherm",
23244,11.666667,46.566666,14,Wuchiapingian,Changhsingian,259.9,252.17,IT,Groedner Sandstein,,,,sandstone,fluvial-deltaic indet.,
23246,11.666667,46.566666,20,Wuchiapingian,Changhsingian,259.9,252.17,IT,Groedner Sandstein,,,,sandstone,fluvial-deltaic indet.,
23247,11.666667,46.566666,30,Wuchiapingian,Changhsingian,259.9,252.17,IT,Groedner Sandstein,,,,claystone,fluvial-deltaic indet.,
23257,26.233334,-31.566668,10,Late Triassic,,237,201.3,ZA,Molteno,,,,,,
23259,26.233334,-31.533333,16,Carnian,,237,228,ZA,Molteno,Stormberg,,,not reported,lacustrine - small,
23261,28,-31.533333,9,Carnian,,237,228,ZA,Molteno,Karoo Basin,,,"""shale""","""floodplain""",
23262,27.1,-30.483334,12,Late Triassic,,237,201.3,ZA,Molteno,,,,,,
23263,26.950001,-30.683332,25,Carnian,,237,228,ZA,Molteno,Karoo Basin,,,"""shale""",lacustrine - small,
23264,26.5,-31.133333,11,Late Triassic,,237,201.3,ZA,Molteno,,,,,,
23266,27,-31.5,12,Late Triassic,,237,201.3,ZA,Molteno,,,,"""shale""","""floodplain""",
23317,27.516666,-31.616667,11,Carnian,,237,228,ZA,Molteno,Karoo Basin,,,mudstone,pond,
23319,27.933332,-31.450001,9,Late Triassic,,237,201.3,ZA,Molteno,,,,,,
23322,26.549999,-31.066668,10,Late Triassic,,237,201.3,ZA,Molteno,,,,,,
