collection_no,lng,lat,n_occs,early_interval,late_interval,max_ma,min_ma,cc,formation,stratgroup,member,zone,lithology1,environment,collection_size
194079,78.48159,22.616426,1,Anisian,,247.2,242,IN,Denwa,,,,mudstone,fluvial indet.,
194142,-113.6894,37.150173,1,Carnian,,237,228,US,Shinarump,Chinle,,,conglomerate,terrestrial indet.,
194144,-113.402428,37.191288,1,Carnian,,237,228,US,Shinarump,Chinle,,,sandstone,terrestrial indet.,
194149,-77.244652,39.784885,2,Norian,,228,208.5,US,,,,,not reported,terrestrial indet.,
194176,-52.778667,-29.720364,1,Carnian,,237,228,BR,,,,,not reported,terrestrial indet.,
194194,132.860001,42.794998,1,Lopingian,,259.9,252.17,RU,Lyudyanza,,,,"""reef rocks""","reef, buildup or bioherm",
194195,133,42.900002,1,Lopingian,,259.9,252.17,RU,Lyudyanza,,,,"""limestone""","reef, buildup or bioherm",
194380,35.314445,-10.302222,4,Anisian,,247.2,242,TZ,Manda Beds,,Lifua,Cynognathus Subzone C,sandstone,fluvial-lacustrine indet.,
194381,35.266666,-10.383333,1,Anisian,,247.2,242,TZ,Manda Beds,,Lifua,Cynognathus subzone C,sandstone,fluvial-lacustrine indet.,
194382,34.843887,-10.350278,3,Anisian,,247.2,242,TZ,Manda Beds,,Lifua,Cynognathus Assemblage Zone,marl,fluvial-lacustrine indet.,
194383,12.116389,46.735832,1,Pelsonian-Pelsonian-Illyrian,Pelsonian-Illyrian,247.2,242,IT,Dont,,,,siltstone,marginal marine indet.,
194384,110.42028,40.660831,1,Lopingian,,259.9,252.17,CN,Naobaogou,,II,,siltstone,terrestrial indet.,
194386,-52.194721,-29.71611,1,Ladinian,Carnian,242,228,BR,,,,Dinodontosaurus,not reported,terrestrial indet.,
194387,-52.726665,-29.776943,1,Ladinian,Carnian,242,228,BR,,,,Dinodontosaurus,not reported,terrestrial indet.,
194388,-52.885277,-29.767221,1,Ladinian,Carnian,242,228,BR,,,,Dinodontosaurus,not reported,terrestrial indet.,
194390,-52.988056,-29.745832,1,Ladinian,Carnian,242,228,BR,,,,Dinodontosaurus,not reported,terrestrial indet.,
194471,-101.247223,32.172222,1,Norian,,228,208.5,US,Dockum,,Iatan,,mudstone,terrestrial indet.,
194520,54.508999,12.5423,1,Aegean-Bithynian,,247.2,242,YE,,,,,"""limestone""",carbonate indet.,
194521,54.508999,12.5423,1,Aegean-Bithynian,,247.2,242,YE,,,,,"""limestone""",carbonate indet.,
194522,54.508999,12.5423,2,Aegean-Bithynian,,247.2,242,YE,,,,,"""limestone""",carbonate indet.,
194523,54.508999,12.5423,2,Aegean-Bithynian,,247.2,242,YE,,,,,"""limestone""",carbonate indet.,
194524,54.508999,12.5423,1,Aegean-Bithynian,,247.2,242,YE,,,,,"""limestone""",carbonate indet.,
194525,54.508999,12.5423,2,Aegean-Bithynian,,247.2,242,YE,,,,,"""limestone""",carbonate indet.,
194526,54.506802,12.5418,5,Pelsonian-Illyrian,,247.2,242,YE,,,,,"""limestone""",carbonate indet.,
194527,54.506802,12.5418,1,Pelsonian-Illyrian,,247.2,242,YE,,,,,"""limestone""",carbonate indet.,
194528,54.506802,12.5418,1,Pelsonian-Illyrian,,247.2,242,YE,,,,,"""limestone""",carbonate indet.,
194529,54.506802,12.5418,1,Pelsonian-Illyrian,,247.2,242,YE,,,,,"""limestone""",carbonate indet.,
194530,54.506802,12.5418,7,Pelsonian-Illyrian,,247.2,242,YE,,,,,"""limestone""",carbonate indet.,
194531,54.506802,12.5418,2,Pelsonian-Illyrian,,247.2,242,YE,,,,,"""limestone""",carbonate indet.,
194532,54.506802,12.5418,8,Pelsonian-Illyrian,,247.2,242,YE,,,,,"""limestone""",carbonate indet.,
194533,54.506802,12.5418,1,Pelsonian-Illyrian,,247.2,242,YE,,,,,"""limestone""",carbonate indet.,
194534,54.506802,12.5418,2,Pelsonian-Illyrian,,247.2,242,YE,,,,,"""limestone""",carbonate indet.,
194535,54.506199,12.5416,3,Pelsonian-Illyrian,,247.2,242,YE,,,,,"""limestone""",carbonate indet.,
194536,54.505798,12.5414,3,Pelsonian-Illyrian,,247.2,242,YE,,,,,"""limestone""",carbonate indet.,
194537,54.505299,12.5411,1,Fassanian,,242,235,YE,,,,,"""limestone""",carbonate indet.,
194538,54.505299,12.5411,3,Fassanian,,242,235,YE,,,,,"""limestone""",carbonate indet.,
194539,54.505299,12.5411,2,Fassanian,,242,235,YE,,,,,"""limestone""",carbonate indet.,
194540,54.506802,12.5418,1,Pelsonian-Illyrian,,247.2,242,YE,,,,,"""limestone""",carbonate indet.,
194541,54.506802,12.5418,1,Pelsonian-Illyrian,,247.2,242,YE,,,,,"""limestone""",carbonate indet.,
194543,54.505299,12.5411,1,Fassanian,,242,235,YE,,,,,"""limestone""",carbonate indet.,
194544,78.028,31.965,3,Aegean-Bithynian,Pelsonian-Pelsonian-Illyrian,247.2,242,IN,,,,,"""limestone""",carbonate indet.,
194545,86.135834,28.436943,1,Aegean-Bithynian,Pelsonian-Pelsonian-Illyrian,247.2,242,CN,,,,,"""limestone""",carbonate indet.,
194548,35.216667,-10.336111,1,Anisian,,247.2,242,TZ,Manda Beds,,Lifua,Cynognathus subzone C,mudstone,fluvial-lacustrine indet.,
194584,11.112222,46.530556,8,Anisian,,247.2,242,IT,,,,,sandstone,delta plain,
194710,12.507383,46.290653,1,Norian,,228,208.5,IT,Dolomia Principale,,,,dolomite,marine indet.,
194711,12.613049,46.289425,1,Norian,,228,208.5,IT,Dolomia Principale,,,,dolomite,marine indet.,
194712,12.600991,46.318924,,Norian,,228,208.5,IT,Dolomia Principale,,,,dolomite,marine indet.,
194734,111.555832,31.218056,1,Spathian,,251.3,247.2,CN,Jialingjiang,,,,not reported,marine indet.,
194744,-69.148888,-35.081112,1,Carnian,,237,228,AR,Potrerillos,,,,sandstone,fluvial indet.,
194745,-22.550278,71.271942,1,Norian,,228,208.5,GL,Fleming Fjord,,Ørsted Dal,,mudstone,terrestrial indet.,
194777,104.327904,24.779699,1,Pelsonian-Pelsonian-Illyrian,,247.2,242,CN,Guanling,,,,not reported,marine indet.,
194778,34.873611,30.716944,1,Pelsonian-Illyrian,Fassanian,247.2,235,IL,Saharonim,,Lower,,not reported,marine indet.,
194779,9.487778,49.323055,1,Ladinian,,242,237,DE,MeiBner,Muschelkalk,Hohenlohe,nodosus-semipartitus,not reported,marine indet.,
194783,104.327904,24.779699,,Pelsonian-Pelsonian-Illyrian,,247.2,242,CN,Guanling,,Upper,Nicoraella kockeli,lime mudstone,shallow subtidal indet.,
194784,104.327904,24.779699,2,Anisian,,247.2,242,CN,Guanling,,2,Nicoraella kockeli,not reported,marine indet.,
194785,8.932,45.904999,1,Ladinian,,242,237,CH,Lower Meride Limestone,,,,"""limestone""",carbonate indet.,
194788,117.82,31.620001,1,Spathian,Olenekian,251.3,247.2,CN,Nanlinghu,,Upper,Neospathodus anhuinensis,not reported,marine indet.,
194790,8.903333,45.888611,1,Anisian,,247.2,242,IT,Besano,,,,not reported,marine indet.,
195075,0.908056,52.375,1,Wuchiapingian,,259.9,254.17,UK,,,,,not reported,terrestrial indet.,
195194,131.922775,43.00528,7,Anisian,,247.2,242,RU,Karazin,,,Acrochordiceras kiparisovae,not reported,marine indet.,
195195,-118.075836,40.277779,5,Spathian,,251.3,247.2,US,Prida,Star Peak,lower (unnamed),Subcolumbites,"""carbonate""",marine indet.,
195201,111.566109,31.164722,1,Olenekian,,251.2,247.2,CN,Jialingjiang,,,,"""limestone""",marine indet.,
195215,19.807501,49.27,1,Pelsonian-Illyrian,Fassanian,247.2,235,PL,Furkaska,,Partnach Beds,,not reported,shallow subtidal indet.,
195243,-67.717224,-29.871111,2,Ladinian,,242,237,AR,Chanares,,,,not reported,terrestrial indet.,
195278,25.966667,-30.5,3,Induan,,252.17,251.2,ZA,Balfour,Beaufort,Palingkloof,Lystrosaurus Assemblage Zone,"""siliciclastic""",terrestrial indet.,
195279,25.966667,-30.5,1,Changhsingian,,254.17,252.17,ZA,Balfour,Beaufort,Palingkloof,Lystrosaurus Assemblage Zone,"""siliciclastic""",terrestrial indet.,
195280,26.265278,-30.420279,1,Changhsingian,,254.17,252.17,ZA,Balfour,Beaufort,Palingkloof,Dicynodon Assemblage Zone,sandstone,fluvial-lacustrine indet.,
195281,24.85861,-31.842777,2,Induan,,252.17,251.2,ZA,Katberg,Beaufort,,Lystrosaurus,siltstone,dry floodplain,
195570,11.353889,52.088055,1,Anisian,,247.2,242,DE,,Muschelkalk,"""orbicularis""",,marl,terrestrial indet.,
195571,19,50.319721,1,Anisian,,247.2,242,PL,,Muschelkalk,,,not reported,marine indet.,
